iter	RMSE
145	18225.03348
146	18165.40903
147	18146.30205
148	18099.86254
149	18043.37807
150	18007.73208
151	17969.41861
152	17932.78359
153	17893.17506
154	17857.39459
155	17803.37155
156	17779.03771
157	17728.78276
158	17693.58935
159	17663.08057
160	17583.33112
161	17551.03167
162	17506.27371
163	17488.04632
164	17445.89423
165	17424.53344
166	17404.86326
167	17367.85518
168	17339.75973
169	17305.90062
170	17272.6989
171	17228.85177
172	17193.74311
173	17157.59445
174	17102.45221
175	17070.26336
176	17043.388
177	17014.75666
178	16984.9624
179	16960.12873
180	16938.94122
181	16931.49586
182	16906.57371
183	16874.22733
184	16852.39069
185	16834.54034
186	16808.77351
187	16766.33639
188	16735.06707
189	16720.47553
190	16666.62839
191	16654.40966
192	16615.72293
193	16607.05641
194	16555.46343
195	16518.26458
196	16491.51313
197	16458.81943
198	16437.99311
199	16434.22169
200	16401.17803
201	16379.52743
202	16374.5477
203	16342.843
204	16331.7886
205	16310.16975
206	16300.03426
207	16284.96441
208	16266.32349
209	16217.60591
210	16197.13832
211	16171.66769
212	16110.88306
213	16105.56996
214	16096.22975
215	16076.44505
216	16059.03238
217	16023.0432
218	15992.76815
219	15956.58014
220	15928.61845
221	15927.53135
222	15913.92763
223	15878.12185
224	15863.70659
225	15836.92741
226	15807.93173
227	15783.78082
228	15758.99629
229	15727.40511
230	15721.97427
231	15711.45988
232	15710.23395
233	15690.58585
234	15687.42036
235	15649.78141
236	15616.41464
237	15565.13798
238	15542.99535
239	15525.21149
240	15502.93838
241	15473.3625
242	15470.89054
243	15431.39272
244	15411.5108
245	15380.81341
246	15345.1472
247	15340.20131
248	15324.07339
249	15305.93573
250	15303.56112
251	15260.6258
252	15236.66669
253	15220.93651
254	15197.04774
255	15163.37509
256	15138.68975
257	15098.20176
258	15094.5923
259	15059.66375
260	15058.75723
261	15041.48267
262	15030.00668
263	15007.71508
264	15004.82813
265	14970.96401
266	14969.91725
267	14966.67136
268	14935.33951
269	14912.54185
270	14896.82847
271	14874.08834
272	14866.74719
273	14829.49212
274	14826.61549
275	14823.45347
276	14801.55938
277	14799.42829
278	14791.71053
279	14761.43862
280	14759.57406
281	14738.76778
282	14687.22026
283	14654.85942
284	14651.7698
285	14617.45558
286	14589.2047
287	14587.48363
288	14573.21384
289	14545.21139
290	14542.61678
291	14531.31275
292	14519.16174
293	14503.33548
294	14501.36902
295	14494.46913
296	14457.70068
297	14443.17019
298	14428.84195
299	14416.18391
300	14398.06345
301	14356.6152
302	14351.017
303	14329.59507
304	14313.57017
305	14296.11171
306	14279.64853
307	14263.83696
308	14262.24738
309	14245.43677
310	14243.70455
311	14227.69472
312	14226.08597
313	14225.63034
314	14202.18202
315	14183.78867
316	14172.43368
317	14151.22053
318	14124.79762
319	14090.84373
320	14081.36795
321	14053.62911
322	14052.40294
323	14023.47772
324	14018.54483
325	13993.55349
326	13976.23642
327	13953.34713
328	13943.38519
329	13919.30618
330	13906.56797
331	13869.47361
332	13859.18301
333	13843.7784
334	13832.52145
335	13820.1928
336	13814.37053
337	13813.82906
338	13808.56288
339	13793.44922
340	13793.17653
341	13777.33063
342	13763.73993
343	13741.63214
344	13725.03521
345	13687.24665
346	13685.55418
347	13674.98139
348	13674.51373
349	13674.07813
350	13661.17227
351	13633.80982
352	13633.59789
353	13628.77503
354	13614.51199
355	13588.76838
356	13556.82437
357	13556.11903
358	13548.73542
359	13526.09141
360	13513.14381
361	13508.49576
362	13498.56756
363	13496.88006
364	13472.90345
365	13465.92607
366	13450.51907
367	13443.47432
368	13428.29729
369	13410.98987
370	13391.79864
371	13360.2163
372	13335.0674
373	13322.09088
374	13309.44716
375	13291.44955
376	13284.47431
377	13274.72168
378	13260.87794
379	13248.56742
380	13234.78187
381	13227.70984
382	13207.13864
383	13193.81968
384	13180.26829
385	13167.52607
386	13159.97057
387	13141.61131
388	13125.212
389	13115.21999
390	13097.98684
391	13080.73742
392	13056.00213
393	13046.92243
394	13043.63159
395	13032.11917
396	13023.38292
397	13008.14558
398	12982.67096
399	12981.69589
400	12970.15009
401	12964.996
402	12962.06875
403	12954.73762
404	12943.88994
405	12938.71587
406	12916.33389
407	12890.50797
408	12881.39474
409	12875.83163
410	12852.0974
411	12851.2926
412	12836.19864
413	12821.68537
414	12814.93691
415	12806.83678
416	12784.56169
417	12780.84794
418	12778.74077
419	12777.02766
420	12742.70534
421	12737.54315
422	12736.3451
423	12715.32103
424	12702.5829
425	12695.40432
426	12685.95977
427	12671.78645
428	12657.14576
429	12635.004
430	12634.56349
431	12617.82107
432	12609.6292
433	12592.83549
434	12583.43565
435	12552.69281
436	12548.8853
437	12541.26902
438	12538.13289
439	12524.5308
440	12518.96811
441	12507.53457
442	12490.19831
443	12474.21671
444	12460.4689
445	12448.68113
446	12428.49129
447	12412.6964
448	12397.76081
449	12377.70616
450	12344.79884
451	12344.23235
452	12328.69532
453	12314.32097
454	12302.76262
455	12289.15358
456	12278.46186
457	12273.34466
458	12256.49655
459	12249.30921
460	12243.02259
461	12236.42844
462	12220.01713
463	12209.98278
464	12208.80385
465	12204.81127
466	12188.29678
467	12185.52534
468	12171.20643
469	12151.28286
470	12139.35083
471	12120.85775
472	12110.6564
473	12099.70695
474	12088.53174
475	12083.65766
476	12074.47628
477	12070.36921
478	12069.99354
479	12058.62674
480	12048.3093
481	12045.69798
482	12036.46873
483	12021.35986
484	11995.39481
485	11977.79801
486	11960.06129
487	11935.87534
488	11925.62596
489	11924.55677
490	11923.56677
491	11921.87047
492	11901.75155
493	11899.14987
494	11893.5632
495	11893.13582
496	11882.31679
497	11855.15103
498	11854.71137
499	11853.01863
500	11847.85764
501	11832.35482
502	11812.56991
503	11791.99856
504	11782.66136
505	11768.59189
506	11767.61518
507	11760.73173
508	11741.05217
509	11734.10866
510	11726.5197
511	11706.5004
512	11688.4433
513	11662.3286
514	11661.02112
515	11648.97765
516	11637.43819
517	11627.86622
518	11611.01962
519	11600.48565
520	11578.71551
521	11574.88327
522	11572.75558
523	11563.93675
524	11563.46534
525	11555.70808
526	11535.26226
527	11510.56325
528	11492.80093
529	11492.20798
530	11491.63401
531	11470.68578
532	11457.62543
533	11447.16905
534	11444.1741
535	11421.49839
536	11410.42374
537	11408.805
538	11407.74024
539	11393.85689
540	11392.4181
541	11381.58719
542	11367.12519
543	11359.32171
544	11349.09909
545	11331.55204
546	11323.53493
547	11316.14907
548	11304.81477
549	11291.17623
550	11274.77318
551	11265.39016
552	11249.86714
553	11238.66498
554	11235.05367
555	11226.21961
556	11212.07829
557	11211.06652
558	11202.85674
559	11184.25284
560	11175.52383
561	11163.32139
562	11145.86958
563	11135.72972
564	11114.62304
565	11096.20505
566	11083.55712
567	11070.98614
568	11057.75701
569	11047.47175
570	11034.49222
571	11030.35991
572	11013.1008
573	11002.93362
574	10994.52685
575	10993.99209
576	10992.76248
577	10990.62406
578	10977.45664
579	10975.35465
580	10967.22122
581	10964.00165
582	10955.9201
583	10931.89832
584	10924.17126
585	10908.80389
586	10900.43499
587	10898.69197
588	10877.61013
589	10872.23694
590	10859.76373
591	10845.26339
592	10844.10232
593	10838.56007
594	10825.74416
595	10821.90956
596	10812.11363
597	10801.92357
598	10790.64485
599	10782.97239
600	10778.5965
601	10776.32417
602	10774.21748
603	10763.02882
604	10753.33245
605	10728.74108
606	10725.29284
607	10708.52165
608	10700.42351
609	10693.89489
610	10680.5492
611	10659.16788
612	10643.74058
613	10636.98931
614	10615.6486
615	10611.73835
616	10600.18874
617	10583.53268
618	10570.03436
619	10560.94329
620	10544.65383
621	10535.153
622	10526.94687
623	10523.44554
624	10502.96495
625	10476.35677
626	10470.55696
627	10462.02426
628	10459.7423
629	10444.9557
630	10433.15356
631	10425.32622
632	10417.00105
633	10415.46498
634	10400.48601
635	10393.77017
636	10369.24518
637	10366.04541
638	10350.64576
639	10345.09251
640	10319.75767
641	10316.09089
642	10302.47221
643	10294.27902
644	10291.03058
645	10284.16927
646	10273.58659
647	10269.29092
648	10262.14945
649	10243.06623
650	10232.61875
651	10208.38115
652	10198.2802
653	10194.74673
654	10181.48617
655	10180.29075
656	10178.39163
657	10163.6587
658	10152.49312
659	10145.20622
660	10136.18518
661	10125.7497
662	10119.17214
663	10111.48419
664	10101.98185
665	10087.368
666	10072.66211
667	10067.30687
668	10066.26687
669	10056.7479
670	10050.82007
671	10030.20532
672	10024.72705
673	10010.02463
674	10002.74271
675	9994.730635
676	9977.340489
677	9969.269904
678	9952.016387
679	9942.510587
680	9935.449206
681	9930.244269
682	9913.327247
683	9905.485676
684	9899.178368
685	9897.097356
686	9892.855639
687	9880.856976
688	9868.743732
689	9867.082738
690	9859.938821
691	9841.517112
692	9822.412813
693	9821.164306
694	9819.125339
695	9807.07402
696	9790.967267
697	9772.878227
698	9764.843918
699	9747.985016
700	9741.752819
701	9733.657504
702	9724.152403
703	9711.300801
704	9707.127658
705	9701.51855
706	9693.807167
707	9684.70625
708	9683.580985
709	9673.965334
710	9663.287714
711	9660.561152
712	9646.270015
713	9639.843932
714	9632.237479
715	9630.934162
716	9614.912797
717	9608.343642
718	9603.394804
719	9599.018653
720	9585.895002
721	9582.939515
722	9578.098667
723	9573.092943
724	9572.308367
725	9565.774261
726	9556.474454
727	9551.791001
728	9547.500765
729	9541.599904
730	9516.908666
731	9502.104349
732	9492.157041
733	9481.027126
734	9473.94394
735	9466.782837
736	9461.164631
737	9449.564839
738	9442.509556
739	9420.943318
740	9410.515309
741	9403.320673
742	9385.823453
743	9376.944699
744	9371.176275
745	9368.959808
746	9362.322472
747	9356.181858
748	9344.339895
749	9337.102048
750	9331.406371
751	9310.060025
752	9306.549299
753	9285.976521
754	9282.943542
755	9281.140743
756	9279.252648
757	9270.801364
758	9255.057955
759	9244.61702
760	9236.365716
761	9226.127472
762	9220.572721
763	9207.854857
764	9196.273629
765	9186.894456
766	9181.443998
767	9180.933972
768	9176.168339
769	9163.164041
770	9156.527111
771	9151.136905
772	9150.11948
773	9142.648165
774	9141.232808
775	9120.581912
776	9110.701799
777	9097.609348
778	9089.512156
779	9088.360955
780	9086.091872
781	9071.440417
782	9065.736826
783	9055.286476
784	9041.017691
785	9031.972746
786	9018.449503
787	9017.500939
788	9009.538441
789	9004.63447
790	9004.052658
791	8997.46702
792	8980.384453
793	8971.619224
794	8970.693106
795	8956.945681
796	8954.767191
797	8944.382131
798	8936.418711
799	8929.48237
800	8911.358717
801	8903.473675
802	8898.279747
803	8893.080213
804	8891.450874
805	8890.793619
806	8880.788303
807	8873.620061
808	8872.45826
809	8870.267426
810	8860.936893
811	8850.420354
812	8845.045405
813	8836.560931
814	8836.078345
815	8831.135993
816	8824.562957
817	8818.829966
818	8814.491679
819	8811.50923
820	8802.918182
821	8800.954221
822	8799.215383
823	8796.037635
824	8795.567673
825	8791.759938
826	8786.972767
827	8779.692689
828	8772.286719
829	8769.373833
830	8761.14199
831	8760.338258
832	8758.176321
833	8744.565527
834	8740.813099
835	8733.164143
836	8727.387825
837	8720.150284
838	8716.532884
839	8713.269653
840	8713.083084
841	8710.327023
842	8699.738646
843	8689.055235
844	8683.592881
845	8673.809177
846	8669.70569
847	8663.130317
848	8653.902633
849	8636.380286
850	8636.188763
851	8624.073921
852	8623.522124
853	8604.39054
854	8602.265473
855	8601.575668
856	8599.697336
857	8586.06508
858	8575.512399
859	8571.943785
860	8569.191534
861	8568.696521
862	8562.19058
863	8548.920177
864	8537.687797
865	8537.004524
866	8534.655366
867	8524.133106
868	8519.364159
869	8518.551742
870	8518.008579
871	8505.580179
872	8490.601579
873	8490.094526
874	8482.595973
875	8478.566846
876	8473.173767
877	8471.732084
878	8459.933089
879	8457.477396
880	8447.428291
881	8445.064511
882	8441.70138
883	8432.063698
884	8424.309157
885	8423.897247
886	8415.00637
887	8414.040458
888	8400.119855
889	8399.962739
890	8394.434602
891	8391.095641
892	8386.676022
893	8371.770961
894	8357.840351
895	8346.643507
896	8345.223949
897	8342.48849
898	8335.532814
899	8327.793785
900	8318.855877
901	8317.516572
902	8313.654854
903	8308.544168
904	8302.328171
905	8286.544335
906	8277.883401
907	8276.069776
908	8275.020892
909	8272.933864
910	8264.878274
911	8264.507491
912	8261.168891
913	8259.511254
914	8253.175092
915	8243.967343
916	8237.60073
917	8227.319945
918	8222.478193
919	8222.171049
920	8220.242203
921	8215.674113
922	8208.982348
923	8206.910781
924	8200.547135
925	8189.038178
926	8180.065187
927	8165.038545
928	8164.635405
929	8163.897394
930	8158.659879
931	8157.366778
932	8148.085091
933	8136.782353
934	8135.922675
935	8130.798985
936	8125.444076
937	8123.463505
938	8122.583881
939	8116.988449
940	8110.22333
941	8100.38584
942	8092.310819
943	8091.125863
944	8076.485523
945	8069.356841
946	8069.158529
947	8068.378222
948	8065.128114
949	8063.827464
950	8052.347366
951	8051.202035
952	8039.178289
953	8029.884642
954	8010.606156
955	8006.920202
956	8003.115621
957	8001.779763
958	8001.420669
959	7997.359483
960	7994.588697
961	7991.669138
962	7987.649865
963	7982.534904
964	7979.236827
965	7968.537938
966	7958.524818
967	7946.942774
968	7943.15425
969	7929.650599
970	7921.10187
971	7915.69602
972	7914.844465
973	7914.685692
974	7910.736499
975	7900.284812
976	7894.668279
977	7894.482383
978	7893.253247
979	7887.890466
980	7887.560865
981	7887.193358
982	7883.762341
983	7882.526441
984	7880.366336
985	7879.975697
986	7879.913701
987	7873.777618
988	7868.649569
989	7865.621101
990	7857.504157
991	7847.130758
992	7836.936719
993	7836.020404
994	7818.983648
995	7818.623679
996	7812.515569
997	7811.758573
998	7801.991352
999	7798.535932
